,RegAwarded,RegAwarded,RegAwarded,RegAwarded,RegAwarded,RegAwarded,SpinAwardedTotal,SpinAwardedTotal,SpinAwardedTotal,SpinAwardedTotal,SpinAwardedTotal,SpinAwardedTotal,SpinAwardedEconomic,SpinAwardedEconomic,SpinAwardedEconomic,SpinAwardedEconomic,SpinAwardedEconomic,SpinAwardedEconomic,SpinAwardedSelfSchedule,SpinAwardedSelfSchedule,SpinAwardedSelfSchedule,SpinAwardedSelfSchedule,SpinAwardedSelfSchedule,SpinAwardedSelfSchedule,SuppAwarded,SuppAwarded,SuppAwarded,SuppAwarded,SuppAwarded,SuppAwarded,STRAwarded,STRAwarded,STRAwarded,STRAwarded,STRAwarded,STRAwarded
,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol
Unit Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A14557,0.9558067831449126,0.4195329703922245,0.9,0.2,3.9,930.0,5.574999999999999,3.0158324054959054,7.8,0.6,7.8,289.9,5.574999999999999,3.0158324054959054,7.8,0.6,7.8,289.9,0.0,0.0,0.0,0.0,0.0,0.0,15.456823438704703,3.0820358431315262,17.0,1.3,18.0,40095.0,7.529103445806896,7.363006296655261,3.7,0.2,18.0,5458.59999821
A14558,,,,,,,7.376271186440678,5.4353650120960815,6.4,0.1,13.8,870.4,7.376271186440678,5.4353650120960815,6.4,0.1,13.8,870.4,0.0,0.0,0.0,0.0,0.0,0.0,15.625674827369743,3.1282166389787402,17.5,1.3,18.0,49783.4,11.810149747138103,6.43099112038811,13.8,0.1,18.0,7097.8999980300005
A14559,0.8673333333333333,0.1063880613048408,0.9,0.1,0.9,520.4,11.002083333333333,4.759455501070126,13.8,0.4,13.8,1056.2,11.002083333333333,4.759455501070126,13.8,0.4,13.8,1056.2,0.0,0.0,0.0,0.0,0.0,0.0,15.862056555269923,2.5329718485780113,16.9,1.3,18.0,30851.7,8.707849289952904,7.057909689532363,8.19999999,0.1,18.0,5546.8999977
A14560,0.8727436823104693,0.08938639129735972,0.9,0.4,0.9,483.5,9.700000000000001,5.293479297864786,12.9,0.4,13.8,640.2,9.700000000000001,5.293479297864786,12.9,0.4,13.8,640.2,0.0,0.0,0.0,0.0,0.0,0.0,16.071300044984255,2.5503612407926375,17.5,1.3,18.0,35726.5,9.34507627891817,7.246976858634056,9.3,0.1,18.0,6737.7999971
A14561,,,,,,,4.936619718309859,3.2147090264514593,7.8,0.5,7.8,350.5,4.936619718309859,3.2147090264514593,7.8,0.5,7.8,350.5,0.0,0.0,0.0,0.0,0.0,0.0,15.615003808073116,2.754078796810356,16.9,4.9,18.0,20502.5,11.504329892041238,6.529792006619873,13.0,0.1,18.0,5579.59999764
A14562,0.8743276283618583,0.0957483437859053,0.9,0.4,0.9,357.6,11.543750000000001,4.381260497663554,13.8,0.8,13.8,369.40000000000003,11.543750000000001,4.381260497663554,13.8,0.8,13.8,369.40000000000003,0.0,0.0,0.0,0.0,0.0,0.0,16.081764523143832,2.799884551996485,17.8,1.3,18.0,51767.2,10.946623369454546,7.140136937014114,13.8,0.1,18.0,8428.89999448
A14563,0.8679911699779249,0.09962176216610223,0.9,0.4,0.9,393.2,10.048529411764706,5.226210997193065,13.8,0.4,13.8,683.3000000000001,10.048529411764706,5.226210997193065,13.8,0.4,13.8,683.3000000000001,0.0,0.0,0.0,0.0,0.0,0.0,16.125551232166018,2.5926257460598516,17.8,3.6,18.0,49731.2,10.207133054993141,7.147469666388477,11.8,0.1,18.0,7440.99999709
A14564,,,,,,,11.967857142857143,3.6622187202909626,13.8,1.4,13.8,1005.3000000000001,11.967857142857143,3.6622187202909626,13.8,1.4,13.8,1005.3000000000001,0.0,0.0,0.0,0.0,0.0,0.0,15.058240819812127,3.194665422082608,16.2,7.6,18.0,17633.2,12.887872759681908,5.873581207924361,14.0,0.1,18.0,6482.59999812
A14565,0.8670886075949367,0.10902244033587581,0.9,0.1,0.9,479.5,9.178260869565218,5.5512526331542,12.8,0.4,13.8,422.20000000000005,9.178260869565218,5.5512526331542,12.8,0.4,13.8,422.20000000000005,0.0,0.0,0.0,0.0,0.0,0.0,15.929809035863997,2.91552647127558,17.8,7.6,18.0,34201.3,10.525449096991018,7.161431277877657,12.5,0.1,18.0,7030.99999679
A14567,5.1,,5.1,5.1,5.1,5.1,12.0,0.0,12.0,12.0,12.0,60.0,12.0,0.0,12.0,12.0,12.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,11.38780487804878,2.163468872199369,12.0,0.9,12.0,466.9
