,RegOfferedEconomic,RegOfferedEconomic,RegOfferedEconomic,RegOfferedEconomic,RegOfferedEconomic,RegOfferedEconomic,RegOfferedSelfSchedule,RegOfferedSelfSchedule,RegOfferedSelfSchedule,RegOfferedSelfSchedule,RegOfferedSelfSchedule,RegOfferedSelfSchedule,SpinOfferedSelfSchedule,SpinOfferedSelfSchedule,SpinOfferedSelfSchedule,SpinOfferedSelfSchedule,SpinOfferedSelfSchedule,SpinOfferedSelfSchedule,SuppOfferedEconomic,SuppOfferedEconomic,SuppOfferedEconomic,SuppOfferedEconomic,SuppOfferedEconomic,SuppOfferedEconomic,SuppOfferedSelfSchedule,SuppOfferedSelfSchedule,SuppOfferedSelfSchedule,SuppOfferedSelfSchedule,SuppOfferedSelfSchedule,SuppOfferedSelfSchedule,STROfferedTotal,STROfferedTotal,STROfferedTotal,STROfferedTotal,STROfferedTotal,STROfferedTotal
,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol
Unit Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A11880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,100.0,100.0,640900.0
A11958,62.157978784076654,3.342291170009319,62.0,30.0,66.0,544939.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.01,0.0,10.01,10.01,10.01,87757.67,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
A12010,35.0,0.0,35.0,35.0,35.0,306845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,25.0,219175.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
A12188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,10.0,10.0,10.0,87130.0
A12300,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.2655412341736056,0.44164616547977065,1.0,1.0,2.0,11095.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,8713.0
A12341,35.0,0.0,35.0,35.0,35.0,306845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,25.0,219175.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
A12752,162.8713115931619,1.6628928939058818,163.0,102.0,168.0,1133747.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.055817932922656,0.6255225115724073,3.99,3.99,10.0,35553.3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
A13077,44.30720967373945,2.402928531502616,45.0,35.0,45.0,388397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.30000000000000004,0.30000000000000004,0.30000000000000004,2629.8,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,871.2
A13379,223.1473876340406,8.02515707357436,225.0,60.0,237.0,1956110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,788.9399999999999,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
A13536,236.89090805384438,14.75824093366156,237.0,167.0,271.0,2076585.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.71543691535478,1.0094133485483103,7.48,5.44,10.18,67633.52,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
