Unit Code,Mean,StdDev,Median,Min,Max,Q1,Q3
A3969,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3970,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3971,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3972,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3974,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3976,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3986,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3990,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3991,9.0,0.0,9.0,9.0,9.0,9.0,9.0
A3995,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A3996,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A3997,2.643722627737226,2.6186260748849466,1.62,1.29,8.32,1.29,1.62
A3998,3.2105109489051094,3.5153911408158747,1.64,1.55,10.85,1.55,1.64
A4001,1.1913686131386862,0.07258021969135472,1.19,1.11,1.28,1.11,1.28
A4004,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A4008,9.43,0.0,9.43,9.43,9.43,9.43,9.43
A4011,4.0,0.0,4.0,4.0,4.0,4.0,4.0
A4012,4.0,0.0,4.0,4.0,4.0,4.0,4.0
A4013,4.0,0.0,4.0,4.0,4.0,4.0,4.0
A4014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4015,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A4016,1.03,0.0,1.03,1.03,1.03,1.03,1.03
A4021,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A4022,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A4024,0.7123346259124088,0.334062568581261,0.63,0.1,2.45,0.51,0.84
A4030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4032,2.5,0.0,2.5,2.5,2.5,2.5,2.5
A4033,2.5,0.0,2.5,2.5,2.5,2.5,2.5
A4034,2.5,0.0,2.5,2.5,2.5,2.5,2.5
A4035,2.5,0.0,2.5,2.5,2.5,2.5,2.5
A4036,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A4053,5.04485401459854,0.5213834039795742,4.99,4.99,10.0,4.99,4.99
A4054,5.04485401459854,0.5213834039795742,4.99,4.99,10.0,4.99,4.99
A4055,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4075,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A4076,1.5,0.0,1.5,1.5,1.5,1.5,1.5
A4077,1.5,0.0,1.5,1.5,1.5,1.5,1.5
A4078,1.5,0.0,1.5,1.5,1.5,1.5,1.5
A4079,1.75,0.0,1.75,1.75,1.75,1.75,1.75
A4083,1.51,0.0,1.51,1.51,1.51,1.51,1.51
A4084,1.55,0.0,1.55,1.55,1.55,1.55,1.55
A4086,20.0,0.0,20.0,20.0,20.0,20.0,20.0
A4087,20.0,0.0,20.0,20.0,20.0,20.0,20.0
A4092,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4094,2.0,0.0,2.0,2.0,2.0,2.0,2.0
A4095,2.0,0.0,2.0,2.0,2.0,2.0,2.0
A4096,2.0,0.0,2.0,2.0,2.0,2.0,2.0
A4097,2.0,0.0,2.0,2.0,2.0,2.0,2.0
A4100,4.0,0.0,4.0,4.0,4.0,4.0,4.0
A4101,4.0,0.0,4.0,4.0,4.0,4.0,4.0
A4103,4.0,0.0,4.0,4.0,4.0,4.0,4.0
A4104,4.0,0.0,4.0,4.0,4.0,4.0,4.0
A4105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
