Time_Period,pIES_MW,pGridSale_MW,pGridPurchase_MW,pTurbine_MW,qSteam_Turbine_MWth,pElectrolyzer_MW,pElectrolyzerSetpoint_MW,mHydrogenProduced_kg_per_hr,qSteam_Electrolyzer_MWth,H2_storage_level_kg,H2_to_storage_kg_per_hr,H2_from_storage_kg_per_hr,H2_to_market_kg_per_hr,BatterySOC_MWh,BatteryCharge_MW,BatteryDischarge_MW,Energy_Revenue_USD,H2_Revenue_USD,AS_Revenue_USD
7738,714.2450758735943,714.2450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,12393.342717609321,4979.674796747968,4716.406363967935,4716.406363967935,10.0,2.5,0.0,10995.802943073983,14149.219091903806,1223.8676429736283
7739,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,12460.764463353007,4979.674796747968,4716.406363967935,4716.406363967935,10.0,0.0,0.0,16352.538906056054,14149.219091903806,1152.743759315314
7740,719.2450758735943,719.2450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,12528.186209096693,4979.674796747968,4716.406363967935,4716.406363967935,7.282608695652188,0.0,2.5,27464.3732222332,14149.219091903806,1591.6731672089213
7741,719.2450758735943,719.2450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,12595.60795484038,4979.674796747968,4716.406363967935,4716.406363967935,4.565217391304376,0.0,2.5,31085.772179256743,14149.219091903806,2130.3232580461004
7742,719.2450758735943,719.2450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,12663.029700584066,4979.674796747968,4716.406363967935,4716.406363967935,1.8478260869564882,0.0,2.5,37630.902369706455,14149.219091903806,2202.311620783916
7743,714.2450758735943,714.2450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,12730.451446327752,4979.674796747968,4716.406363967935,4716.406363967935,4.1478260869565045,2.5,0.0,20973.806653028096,14149.219091903806,1656.3698387044928
7744,714.2450758735943,714.2450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,12797.873192071438,4979.674796747968,4716.406363967935,4716.406363967935,6.447826086956523,2.5,0.0,12295.728981163926,14149.219091903806,918.4055689617653
7745,714.2450758735943,714.2450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,12865.294937815124,4979.674796747968,4716.406363967935,4716.406363967935,8.747826086956541,2.5,0.0,15002.717818724846,14149.219091903806,1012.0285098828318
7746,718.8730758735943,718.8730758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,12932.71668355881,4979.674796747968,4716.406363967935,4716.406363967935,6.43478260869564,0.0,2.1280000000000294,26440.151730630798,14149.219091903806,1806.3517744502713
7747,719.2450758735943,719.2450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,13000.138429302497,4979.674796747968,4716.406363967935,4716.406363967935,3.717391304347812,0.0,2.5,28539.64461066422,14149.219091903806,2041.2470412616299
