Time,Rse,Reg,Syn,TMR
2024-01-12 21:00:00,0.0,8.92,0.0,0.0
2024-01-12 22:00:00,0.0,10.22,0.01,0.0
2024-01-12 23:00:00,0.0,10.35,0.01,0.0
2024-01-13 00:00:00,0.0,0.63,0.0,0.0
2024-01-13 01:00:00,0.0,3.09,0.0,0.0
2024-01-13 02:00:00,0.0,0.43,0.0,0.0
2024-01-13 03:00:00,0.0,1.3,0.0,0.0
2024-01-13 04:00:00,0.0,9.07,0.0,0.0
2024-01-13 05:00:00,0.0,5.99,0.0,0.0
2024-01-13 06:00:00,0.0,14.74,0.0,0.0
2024-01-13 07:00:00,0.01,10.13,0.01,0.0
2024-01-13 08:00:00,0.01,36.38,0.01,0.0
2024-01-13 09:00:00,0.0,22.74,0.0,0.0
2024-01-13 10:00:00,0.0,38.3,0.0,0.0
2024-01-13 11:00:00,0.0,42.19,0.0,0.0
2024-01-13 12:00:00,0.0,128.55,0.0,0.0
2024-01-13 13:00:00,0.0,28.5,0.0,0.0
2024-01-13 14:00:00,0.0,31.49,0.0,0.0
2024-01-13 15:00:00,0.0,16.06,0.0,0.0
2024-01-13 16:00:00,0.0,20.74,0.0,0.0
2024-01-13 17:00:00,0.0,16.65,0.0,0.0
2024-01-13 18:00:00,0.0,35.78,0.0,0.0
2024-01-13 19:00:00,0.0,25.25,0.0,0.0
2024-01-13 20:00:00,0.0,41.02,0.0,0.0
2024-01-13 21:00:00,0.0,32.65,0.0,0.0
2024-01-13 22:00:00,0.0,300.4,0.0,0.0
2024-01-13 23:00:00,0.0,74.8,0.0,0.0
2024-01-14 00:00:00,0.0,38.63,0.0,0.0
2024-01-14 01:00:00,0.0,106.51,0.0,0.0
2024-01-14 02:00:00,0.0,493.81,0.0,0.0
2024-01-14 03:00:00,0.0,76.77,0.0,0.0
2024-01-14 04:00:00,0.0,35.17,0.0,0.0
2024-01-14 05:00:00,0.01,30.57,0.01,0.0
2024-01-14 06:00:00,0.01,48.03,0.01,0.0
2024-01-14 07:00:00,0.01,38.56,0.01,0.0
2024-01-14 08:00:00,0.01,43.38,0.01,0.0
2024-01-14 09:00:00,0.0,27.64,0.0,0.0
2024-01-14 10:00:00,0.01,25.69,0.01,0.0
2024-01-14 11:00:00,0.01,28.42,0.01,0.0
2024-01-14 12:00:00,0.01,34.18,0.01,0.0
2024-01-14 13:00:00,0.01,24.98,0.01,0.0
2024-01-14 14:00:00,0.0,27.89,0.0,0.0
2024-01-14 15:00:00,0.01,36.54,0.01,0.0
2024-01-14 16:00:00,0.0,33.74,0.0,0.0
2024-01-14 17:00:00,0.04,113.32,0.04,0.0
2024-01-14 18:00:00,0.0,58.74,0.02,0.0
2024-01-14 19:00:00,0.04,24.5,0.04,0.0
2024-01-14 20:00:00,0.04,50.42,0.04,0.0
2024-01-14 21:00:00,0.04,86.33,0.04,0.0
2024-01-14 22:00:00,0.0,65.57,0.04,0.0
2024-01-14 23:00:00,0.0,71.4,0.02,0.0
2024-01-15 00:00:00,0.01,123.32,0.01,0.0
2024-01-15 01:00:00,0.01,86.13,0.01,0.0
2024-01-15 02:00:00,0.0,103.2,0.0,0.0
2024-01-15 03:00:00,0.0,94.28,0.0,0.0
2024-01-15 04:00:00,0.0,105.85,0.01,0.0
2024-01-15 05:00:00,0.0,116.81,0.01,0.0
2024-01-15 06:00:00,0.0,121.79,0.0,0.0
2024-01-15 07:00:00,0.0,36.62,0.0,0.0
2024-01-15 08:00:00,0.0,66.09,0.0,0.0
2024-01-15 09:00:00,0.0,43.41,0.0,0.0
2024-01-15 10:00:00,0.02,85.6,0.02,0.0
2024-01-15 11:00:00,31.16,100.22,31.16,0.0
2024-01-15 12:00:00,0.04,60.13,0.04,0.0
2024-01-15 13:00:00,0.0,75.6,4.76,0.0
2024-01-15 14:00:00,0.02,65.12,0.02,0.0
2024-01-15 15:00:00,0.04,108.54,0.04,0.0
2024-01-15 16:00:00,0.04,68.93,0.04,0.0
2024-01-15 17:00:00,0.0,0.96,0.0,0.0
2024-01-15 18:00:00,0.04,0.95,0.04,0.0
2024-01-15 19:00:00,0.04,0.96,0.04,0.0
2024-01-15 20:00:00,0.04,22.38,0.04,0.0
2024-01-15 21:00:00,0.0,59.01,0.02,0.0
2024-01-15 22:00:00,0.04,70.93,0.04,0.0
2024-01-15 23:00:00,0.04,80.74,0.04,0.0
2024-01-16 00:00:00,0.02,72.94,0.02,0.0
2024-01-16 01:00:00,0.0,64.79,0.0,0.0
2024-01-16 02:00:00,0.0,70.98,0.0,0.0
2024-01-16 03:00:00,0.02,67.89,0.02,0.0
2024-01-16 04:00:00,0.01,75.55,0.01,0.0
2024-01-16 05:00:00,0.01,93.22,0.01,0.0
